State_Name,Season,Production,Best_Crop
AndamanandNicobarIslands,Kharif,-0.03401564484450947,Rice
AndamanandNicobarIslands,WholeYear,-0.03409527789744096,Coconut
AndamanandNicobarIslands,Autumn,-0.03413225247904492,Rice
AndamanandNicobarIslands,Rabi,-0.03403849759700636,Arecanut
AndhraPradesh,Kharif,-0.03398048676374501,Sugarcane
AndhraPradesh,Rabi,-0.03412697876693025,Maize
AndhraPradesh,WholeYear,-0.030271309243094725,Coconut
ArunachalPradesh,Kharif,-0.03397615060045073,Rice
ArunachalPradesh,Rabi,-0.03412932263898121,Rapeseed&Mustard
ArunachalPradesh,WholeYear,-0.034131783704634724,Oilseedstotal
Assam,Autumn,-0.033229568755417466,Rice
Assam,Kharif,-0.03412609981491114,Sugarcane
Assam,Rabi,-0.03413131493022453,Pineapple
Assam,Summer,-0.03313511071176362,Paddy
Assam,WholeYear,-0.03311108602324125,Coconut
Assam,Winter,-0.028666518646601052,Paddy
Bihar,Autumn,-0.03287904269019582,Rice
Bihar,Kharif,-0.034107876209714894,Jute
Bihar,Rabi,-0.03412774052534681,Wheat
Bihar,Summer,-0.03304967657550599,Maize
Bihar,WholeYear,-0.03345247098746413,Sugarcane
Bihar,Winter,-0.027038933894411758,Rice
Chandigarh,Kharif,-0.03413236967264747,Maize
Chandigarh,Rabi,-0.034132604059852564,Wheat
Chandigarh,WholeYear,-0.03410646988648432,Potato
Chhattisgarh,Kharif,-0.034115845374688175,Sugarcane
Chhattisgarh,Rabi,-0.03413266265665384,Khesari
Chhattisgarh,WholeYear,-0.0341042432080359,Potato
Chhattisgarh,Summer,-0.03411918539236079,Onion
DadraandNagarHaveli,Kharif,-0.034048459053222964,Coconut
DadraandNagarHaveli,Rabi,-0.03401095710040754,Rice
DadraandNagarHaveli,Winter,-0.03411643134270091,Sugarcane
Goa,Kharif,-0.0341108060497786,Rice
Goa,Rabi,-0.03403902496821783,Rice
Goa,WholeYear,-0.03404072427545478,Coconut
Gujarat,Kharif,-0.03400392548425465,Cotton(lint)
Gujarat,Rabi,-0.033710941477884164,Onion
Gujarat,Summer,-0.03259174257354893,Bajra
Gujarat,WholeYear,-0.033294904188838084,Sugarcane
Haryana,Kharif,-0.034074241645783564,Cotton(lint)
Haryana,Rabi,-0.033078096024123926,Wheat
Haryana,WholeYear,-0.00014669370808189568,Sugarcane
HimachalPradesh,Kharif,-0.03413277985025639,Maize
HimachalPradesh,Rabi,-0.03411356009943848,Wheat
HimachalPradesh,WholeYear,-0.03413248686625001,Potato
JammuandKashmir,Kharif,-0.03301363954272242,Maize
JammuandKashmir,Rabi,-0.03413166651103218,Wheat
JammuandKashmir,WholeYear,-0.034130670365410516,Potato
Jharkhand,Autumn,-0.03400255431910483,Rice
